team_id,team,map,win_percentage,n_map
11105,sh1zlEEpeek,Overpass,0.0,0
11105,sh1zlEEpeek,Inferno,0.0,1
11105,sh1zlEEpeek,Mirage,0.0,0
11105,sh1zlEEpeek,Vertigo,0.0,1
11105,sh1zlEEpeek,Nuke,0.0,0
11105,sh1zlEEpeek,Dust2,33.33333333333333,3
11105,sh1zlEEpeek,Train,0.0,1
11105,sh1zlEEpeek,Ancient,0.0,0
11105,sh1zlEEpeek,Tuscan,0.0,0
11105,sh1zlEEpeek,Cobblestone,0.0,0
11105,sh1zlEEpeek,Cache,0.0,0
11105,sh1zlEEpeek,Season,0.0,0
11105,sh1zlEEpeek,Train_ve,0.0,0
11105,sh1zlEEpeek,Mirage_ce,0.0,0
11105,sh1zlEEpeek,Inferno_se,0.0,0
11105,sh1zlEEpeek,Nuke_se,0.0,0
11105,sh1zlEEpeek,Dust2_se,0.0,0
11105,sh1zlEEpeek,Train_se,0.0,0
11105,sh1zlEEpeek,Mill_ce,0.0,0
11105,sh1zlEEpeek,Dust_se,0.0,0
11084,HYENAS,Overpass,100.0,2
11084,HYENAS,Inferno,0.0,1
11084,HYENAS,Mirage,50.0,2
11084,HYENAS,Vertigo,0.0,1
11084,HYENAS,Nuke,0.0,2
11084,HYENAS,Dust2,0.0,0
11084,HYENAS,Train,0.0,0
11084,HYENAS,Ancient,0.0,0
11084,HYENAS,Tuscan,0.0,0
11084,HYENAS,Cobblestone,0.0,0
11084,HYENAS,Cache,0.0,0
11084,HYENAS,Season,0.0,0
11084,HYENAS,Train_ve,0.0,0
11084,HYENAS,Mirage_ce,0.0,0
11084,HYENAS,Inferno_se,0.0,0
11084,HYENAS,Nuke_se,0.0,0
11084,HYENAS,Dust2_se,0.0,0
11084,HYENAS,Train_se,0.0,0
11084,HYENAS,Mill_ce,0.0,0
11084,HYENAS,Dust_se,0.0,0
10831,Entropiq,Overpass,30.76923076923077,13
10831,Entropiq,Inferno,60.0,5
10831,Entropiq,Mirage,42.857142857142854,14
10831,Entropiq,Vertigo,50.0,4
10831,Entropiq,Nuke,33.33333333333333,9
10831,Entropiq,Dust2,62.5,16
10831,Entropiq,Train,0.0,2
10831,Entropiq,Ancient,0.0,0
10831,Entropiq,Tuscan,0.0,0
10831,Entropiq,Cobblestone,0.0,0
10831,Entropiq,Cache,0.0,0
10831,Entropiq,Season,0.0,0
10831,Entropiq,Train_ve,0.0,0
10831,Entropiq,Mirage_ce,0.0,0
10831,Entropiq,Inferno_se,0.0,0
10831,Entropiq,Nuke_se,0.0,0
10831,Entropiq,Dust2_se,0.0,0
10831,Entropiq,Train_se,0.0,0
10831,Entropiq,Mill_ce,0.0,0
10831,Entropiq,Dust_se,0.0,0
10371,NAVI Junior,Overpass,48.275862068965516,29
10371,NAVI Junior,Inferno,37.03703703703704,54
10371,NAVI Junior,Mirage,33.33333333333333,45
10371,NAVI Junior,Vertigo,60.86956521739131,46
10371,NAVI Junior,Nuke,0.0,2
10371,NAVI Junior,Dust2,53.44827586206896,58
10371,NAVI Junior,Train,74.07407407407408,27
10371,NAVI Junior,Ancient,0.0,0
10371,NAVI Junior,Tuscan,0.0,0
10371,NAVI Junior,Cobblestone,0.0,0
10371,NAVI Junior,Cache,0.0,0
10371,NAVI Junior,Season,0.0,0
10371,NAVI Junior,Train_ve,0.0,0
10371,NAVI Junior,Mirage_ce,0.0,0
10371,NAVI Junior,Inferno_se,0.0,0
10371,NAVI Junior,Nuke_se,0.0,0
10371,NAVI Junior,Dust2_se,0.0,0
10371,NAVI Junior,Train_se,0.0,0
10371,NAVI Junior,Mill_ce,0.0,0
10371,NAVI Junior,Dust_se,0.0,0
8963,Lyngby Vikings,Overpass,50.0,38
8963,Lyngby Vikings,Inferno,53.398058252427184,103
8963,Lyngby Vikings,Mirage,35.0,40
8963,Lyngby Vikings,Vertigo,54.929577464788736,71
8963,Lyngby Vikings,Nuke,50.66666666666667,75
8963,Lyngby Vikings,Dust2,41.17647058823529,51
8963,Lyngby Vikings,Train,31.914893617021278,47
8963,Lyngby Vikings,Ancient,0.0,0
8963,Lyngby Vikings,Tuscan,0.0,0
8963,Lyngby Vikings,Cobblestone,0.0,0
8963,Lyngby Vikings,Cache,66.66666666666666,3
8963,Lyngby Vikings,Season,0.0,0
8963,Lyngby Vikings,Train_ve,0.0,0
8963,Lyngby Vikings,Mirage_ce,0.0,0
8963,Lyngby Vikings,Inferno_se,0.0,0
8963,Lyngby Vikings,Nuke_se,0.0,0
8963,Lyngby Vikings,Dust2_se,0.0,0
8963,Lyngby Vikings,Train_se,0.0,0
8963,Lyngby Vikings,Mill_ce,0.0,0
8963,Lyngby Vikings,Dust_se,0.0,0
11066,Fiend,Overpass,57.14285714285714,14
11066,Fiend,Inferno,61.53846153846154,13
11066,Fiend,Mirage,94.11764705882352,17
11066,Fiend,Vertigo,0.0,1
11066,Fiend,Nuke,80.0,10
11066,Fiend,Dust2,66.66666666666666,15
11066,Fiend,Train,58.333333333333336,12
11066,Fiend,Ancient,0.0,0
11066,Fiend,Tuscan,0.0,0
11066,Fiend,Cobblestone,0.0,0
11066,Fiend,Cache,0.0,0
11066,Fiend,Season,0.0,0
11066,Fiend,Train_ve,0.0,0
11066,Fiend,Mirage_ce,0.0,0
11066,Fiend,Inferno_se,0.0,0
11066,Fiend,Nuke_se,0.0,0
11066,Fiend,Dust2_se,0.0,0
11066,Fiend,Train_se,0.0,0
11066,Fiend,Mill_ce,0.0,0
11066,Fiend,Dust_se,0.0,0
7900,Spirit Academy,Overpass,61.29032258064516,31
7900,Spirit Academy,Inferno,50.0,40
7900,Spirit Academy,Mirage,62.22222222222222,45
7900,Spirit Academy,Vertigo,0.0,1
7900,Spirit Academy,Nuke,50.0,16
7900,Spirit Academy,Dust2,20.0,5
7900,Spirit Academy,Train,45.0,40
7900,Spirit Academy,Ancient,0.0,0
7900,Spirit Academy,Tuscan,0.0,0
7900,Spirit Academy,Cobblestone,33.33333333333333,3
7900,Spirit Academy,Cache,33.33333333333333,12
7900,Spirit Academy,Season,0.0,0
7900,Spirit Academy,Train_ve,0.0,0
7900,Spirit Academy,Mirage_ce,0.0,0
7900,Spirit Academy,Inferno_se,0.0,0
7900,Spirit Academy,Nuke_se,0.0,0
7900,Spirit Academy,Dust2_se,0.0,0
7900,Spirit Academy,Train_se,0.0,0
7900,Spirit Academy,Mill_ce,0.0,0
7900,Spirit Academy,Dust_se,0.0,0
6211,Renegades,Overpass,42.0,50
6211,Renegades,Inferno,62.0253164556962,158
